       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT (Collins)            A_UT   dA_UT (Sivers)
        0.6         0.7        0.45        0.55           0         0.2      0.63797      6.9017     0.49343     0.12531   -0.026376          0.052063        -0.01137         0.052067
        0.1         0.2        0.45        0.55         0.2         0.4       0.1875      2.5966      0.4744     0.37814    -0.01129           0.10619        -0.17388          0.10602
        0.2         0.3        0.45        0.55         0.2         0.4      0.26328      3.4993     0.48888     0.34348   -0.015937           0.01661        -0.16538         0.016612
        0.3         0.4        0.45        0.55         0.2         0.4      0.35071      4.4381     0.49353     0.31506   -0.022135          0.011202        -0.13266         0.011201
        0.4         0.5        0.45        0.55         0.2         0.4      0.44616      5.3518     0.49508     0.30396   -0.031035          0.013463       -0.093066         0.013468
        0.5         0.6        0.45        0.55         0.2         0.4      0.54292      6.1975     0.49631     0.29527   -0.042244          0.022793       -0.054611         0.022835
        0.6         0.7        0.45        0.55         0.2         0.4      0.63196      6.9645     0.49328     0.28311   -0.054662          0.055195       -0.026372         0.055196
        0.1         0.2        0.45        0.55         0.4         0.6      0.17278      2.4551     0.48973     0.51935   -0.012164          0.013931        -0.22556         0.013932
        0.2         0.3        0.45        0.55         0.4         0.6      0.25008      3.3978      0.4937     0.50171   -0.019215         0.0081868        -0.23144        0.0081845
        0.3         0.4        0.45        0.55         0.4         0.6      0.34552      4.4298     0.49602     0.49237   -0.030345         0.0097718        -0.19841        0.0097734
        0.4         0.5        0.45        0.55         0.4         0.6      0.44177      5.3849     0.49845     0.48185   -0.043392          0.016407        -0.14256         0.016398
        0.5         0.6        0.45        0.55         0.4         0.6      0.53946       6.252     0.49928     0.47556    -0.06062          0.040437       -0.085193          0.04043
        0.6         0.7        0.45        0.55         0.4         0.6      0.61994      7.0382     0.48986     0.45405   -0.075472           0.16929       -0.043858          0.16942
        0.1         0.2        0.45        0.55         0.6         0.8      0.16917      2.4134     0.49516     0.69087   -0.013842          0.011286        -0.27508         0.011283
        0.2         0.3        0.45        0.55         0.6         0.8      0.24515      3.3597     0.49767     0.68302   -0.021985         0.0093457        -0.29052        0.0093461
        0.3         0.4        0.45        0.55         0.6         0.8      0.34002      4.4259     0.50204     0.67058   -0.034683          0.016266        -0.25366         0.016258
        0.4         0.5        0.45        0.55         0.6         0.8      0.43936      5.4207     0.50383     0.66628   -0.051376          0.043707         -0.1838         0.043621
        0.5         0.6        0.45        0.55         0.6         0.8      0.53006      6.2717     0.49915     0.65446   -0.069609           0.16939        -0.11406          0.16974
        0.1         0.2        0.45        0.55         0.8           1      0.16663      2.3852     0.50245     0.86961    -0.01447            0.0181        -0.30919         0.018121
        0.2         0.3        0.45        0.55         0.8           1      0.23819      3.3073     0.50732     0.86072   -0.022118          0.020457        -0.33149         0.020452
        0.3         0.4        0.45        0.55         0.8           1       0.3366      4.4401     0.51159     0.85344   -0.036004          0.060855        -0.29327         0.061011
        0.4         0.5        0.45        0.55         0.8           1      0.43421      5.4659     0.51211     0.84482    -0.05277            0.2696        -0.21534          0.27014
        0.3         0.4        0.55        0.65           0         0.2      0.37083       4.468     0.59178     0.16134   -0.013494          0.063545       -0.082557         0.063424
        0.4         0.5        0.55        0.65           0         0.2      0.45401      5.2996     0.59447     0.13885   -0.015112          0.033649         -0.0533         0.033676
        0.5         0.6        0.55        0.65           0         0.2      0.54619      6.1214     0.59455     0.12793   -0.018809          0.040509       -0.030219         0.040516
        0.6         0.7        0.55        0.65           0         0.2      0.62232      6.8888     0.57989     0.12279   -0.022949            0.1058       -0.015913          0.10574
        0.2         0.3        0.55        0.65         0.2         0.4      0.27218      3.5608     0.58837     0.35123   -0.017541          0.036921        -0.20411         0.036904
        0.3         0.4        0.55        0.65         0.2         0.4      0.35342      4.4414     0.59344     0.32016   -0.022482          0.017565        -0.16403         0.017562
        0.4         0.5        0.55        0.65         0.2         0.4      0.44725      5.3435     0.59506     0.30641   -0.030439          0.018891        -0.11556         0.018888
        0.5         0.6        0.55        0.65         0.2         0.4      0.54148      6.1741      0.5938     0.29765   -0.040574          0.030769       -0.069404         0.030782
        0.6         0.7        0.55        0.65         0.2         0.4      0.61737      6.9883     0.57533     0.27591   -0.047777           0.11814       -0.035562           0.1185
        0.1         0.2        0.55        0.65         0.4         0.6      0.17779      2.5096     0.58602      0.5453   -0.013784          0.033624        -0.27974         0.033623
        0.2         0.3        0.55        0.65         0.4         0.6      0.25384      3.4274     0.59287     0.51015   -0.020411           0.01335        -0.28009         0.013359
        0.3         0.4        0.55        0.65         0.4         0.6      0.34737      4.4311     0.59528     0.49781   -0.030972          0.013375        -0.24032         0.013379
        0.4         0.5        0.55        0.65         0.4         0.6      0.44351      5.3679     0.59669     0.48999   -0.043763           0.01959         -0.1744         0.019594
        0.5         0.6        0.55        0.65         0.4         0.6      0.53184      6.2261     0.59178     0.47414   -0.056654           0.04539        -0.10868         0.045516
        0.1         0.2        0.55        0.65         0.6         0.8      0.17026      2.4261     0.59419     0.69674   -0.014949          0.017245        -0.32196         0.017242
        0.2         0.3        0.55        0.65         0.6         0.8      0.24811      3.3816     0.59574     0.69143   -0.023681          0.012282        -0.34139         0.012282
        0.3         0.4        0.55        0.65         0.6         0.8      0.34321      4.4263     0.59818     0.68244     -0.0367          0.016961        -0.29881         0.016936
        0.4         0.5        0.55        0.65         0.6         0.8      0.43717      5.3887     0.59849     0.67031   -0.051316          0.035422        -0.22055          0.03539
        0.5         0.6        0.55        0.65         0.6         0.8      0.51796      6.2644     0.58153     0.64231   -0.064164           0.17439        -0.14183          0.17414
        0.1         0.2        0.55        0.65         0.8           1      0.16873      2.4084     0.59695     0.88488   -0.016196          0.020415        -0.35079         0.020408
        0.2         0.3        0.55        0.65         0.8           1      0.24336      3.3455     0.59966     0.87676   -0.024937          0.018192        -0.37536         0.018164
        0.3         0.4        0.55        0.65         0.8           1       0.3376      4.4195     0.60309     0.86508   -0.038447          0.036814        -0.33406          0.03688
        0.4         0.5        0.55        0.65         0.8           1      0.42286       5.361     0.59195     0.84246   -0.051666           0.15101        -0.25416          0.15078
        0.3         0.4        0.65        0.75           0         0.2      0.37444      4.4706     0.69192     0.16111   -0.012602           0.10707       -0.098535          0.10691
        0.4         0.5        0.65        0.75           0         0.2      0.45395      5.2825     0.69226     0.13831    -0.01356          0.050297       -0.064374         0.050329
        0.5         0.6        0.65        0.75           0         0.2      0.53123      6.0776     0.67626     0.12656   -0.015739           0.08268       -0.038946         0.082641
        0.2         0.3        0.65        0.75         0.2         0.4      0.27913       3.598     0.68801     0.35685   -0.017866          0.083682        -0.24446         0.083842
        0.3         0.4        0.65        0.75         0.2         0.4      0.35654      4.4462     0.69291     0.32415   -0.021454          0.027911         -0.1967         0.027924
        0.4         0.5        0.65        0.75         0.2         0.4      0.44532      5.3266     0.69116      0.3064   -0.027381          0.028036        -0.13987         0.028033
        0.5         0.6        0.65        0.75         0.2         0.4       0.5243      6.1299     0.67297     0.28978   -0.033362          0.070688       -0.088062         0.070858
        0.1         0.2        0.65        0.75         0.4         0.6      0.18565      2.5837     0.68154     0.56224   -0.015299           0.11043        -0.33602          0.11041
        0.2         0.3        0.65        0.75         0.4         0.6      0.25946       3.471     0.69165      0.5191   -0.020807          0.023209        -0.33114         0.023207
        0.3         0.4        0.65        0.75         0.4         0.6      0.34843       4.432      0.6943     0.50053   -0.029352          0.019128        -0.28404          0.01915
        0.4         0.5        0.65        0.75         0.4         0.6      0.43745      5.3261     0.68554     0.48685   -0.039325          0.030018        -0.20869         0.030007
        0.5         0.6        0.65        0.75         0.4         0.6      0.51508       6.211     0.66554     0.45453   -0.046587           0.14779        -0.13336          0.14715
        0.1         0.2        0.65        0.75         0.6         0.8      0.17302      2.4581     0.69152      0.7097   -0.015637          0.029908        -0.37287         0.029871
        0.2         0.3        0.65        0.75         0.6         0.8      0.24966      3.3927     0.69474     0.69564   -0.023688          0.017446        -0.39375         0.017453
        0.3         0.4        0.65        0.75         0.6         0.8      0.34218      4.4059     0.69173     0.68456   -0.035301          0.022434        -0.34569          0.02243
        0.4         0.5        0.65        0.75         0.6         0.8      0.42452      5.3138     0.67481     0.65809   -0.045537          0.062979        -0.26014         0.062735
        0.1         0.2        0.65        0.75         0.8           1      0.16931      2.4143     0.69569     0.88926   -0.016967          0.027554        -0.39286         0.027589
        0.2         0.3        0.65        0.75         0.8           1      0.24478       3.352     0.69417     0.88184     -0.0257          0.022292        -0.42076          0.02229
        0.3         0.4        0.65        0.75         0.8           1      0.32882      4.3343     0.68093     0.85637    -0.03639          0.049645        -0.37696         0.049761
