       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT(Collins)            A_UT      dA_UT(Sivers)
        0.2         0.3        0.25        0.35           0         0.2      0.27185      3.5723     0.30852     0.17982   0.0092943          0.033932       -0.021144         0.033932
        0.3         0.4        0.25        0.35           0         0.2      0.35198      4.4621     0.31997     0.16167     0.01164          0.015877       -0.014581         0.015865
        0.4         0.5        0.25        0.35           0         0.2      0.44422      5.4166     0.32814     0.14334    0.013917          0.016862      -0.0080732         0.016862
        0.5         0.6        0.25        0.35           0         0.2      0.53952      6.3838     0.33367     0.13148    0.016164          0.027973      -0.0035329         0.027926
        0.6         0.7        0.25        0.35           0         0.2      0.63533      7.3515     0.33764       0.125    0.018677          0.063295     -0.00090535         0.063393
        0.1         0.2        0.25        0.35         0.2         0.4       0.1707      2.4331     0.29691      0.3383   0.0080872         0.0069294        -0.04316          0.00693
        0.2         0.3        0.25        0.35         0.2         0.4      0.24771      3.3856      0.3069     0.31875    0.012555         0.0047246       -0.038657        0.0047248
        0.3         0.4        0.25        0.35         0.2         0.4      0.34288      4.4415     0.31802     0.30441    0.019132         0.0061932       -0.027881        0.0061965
        0.4         0.5        0.25        0.35         0.2         0.4      0.43923      5.4398     0.32631     0.29204    0.025699          0.010722       -0.016598         0.010724
        0.5         0.6        0.25        0.35         0.2         0.4      0.53597      6.4145     0.33224     0.28212    0.031993          0.024408      -0.0076871         0.024389
        0.6         0.7        0.25        0.35         0.2         0.4      0.63317      7.3765     0.33671     0.27752    0.038752          0.074519      -0.0020516         0.074281
        0.1         0.2        0.25        0.35         0.4         0.6      0.16726      2.3928     0.30468     0.48354    0.010253          0.004817       -0.060544        0.0048176
        0.2         0.3        0.25        0.35         0.4         0.6       0.2409      3.3296      0.3117     0.47198    0.015962          0.004727       -0.056786        0.0047263
        0.3         0.4        0.25        0.35         0.4         0.6      0.33735      4.4328     0.32072      0.4601     0.02508         0.0099401       -0.041996        0.0099462
        0.4         0.5        0.25        0.35         0.4         0.6      0.43672      5.4666     0.32746     0.45837    0.035578          0.029145       -0.025654         0.029174
        0.5         0.6        0.25        0.35         0.4         0.6      0.53558      6.4357     0.33275     0.45986    0.046558           0.10867       -0.012164          0.10861
