       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT(Collins)            A_UT   dA_UT(Sivers)
        0.5         0.6         0.4         0.5           0         0.2      0.55082      8.1031      0.4426     0.14106    0.020562          0.022939      -0.0026585         0.022875
        0.6         0.7         0.4         0.5           0         0.2      0.64517      9.1638     0.44363     0.12918     0.02308          0.026451     -0.00027145         0.026544
        0.2         0.3         0.4         0.5         0.2         0.4      0.27871      4.6949     0.42793     0.36976    0.019625          0.052182       -0.043569         0.052147
        0.3         0.4         0.4         0.5         0.2         0.4      0.35821       5.845     0.43793     0.33947    0.025247          0.015089        -0.02836         0.015082
        0.4         0.5         0.4         0.5         0.2         0.4       0.4491      7.0531     0.44208     0.31562    0.031954          0.011094       -0.015114         0.011092
        0.5         0.6         0.4         0.5         0.2         0.4      0.54521      8.2042      0.4436      0.3057    0.040411          0.012751      -0.0058952         0.012741
        0.6         0.7         0.4         0.5         0.2         0.4      0.64194      9.2686     0.44462     0.29988    0.049456          0.019109     -0.00068699         0.019104
        0.1         0.2         0.4         0.5         0.4         0.6      0.17932      3.2474     0.42774     0.55552    0.013145           0.02916       -0.076517         0.029156
        0.2         0.3         0.4         0.5         0.4         0.6      0.25622      4.4708     0.43772     0.52031    0.020635         0.0098476       -0.062321        0.0098459
        0.3         0.4         0.4         0.5         0.4         0.6      0.34812      5.8028      0.4425     0.50059    0.031294         0.0081478       -0.041477        0.0081493
        0.4         0.5         0.4         0.5         0.4         0.6       0.4451      7.0739     0.44427     0.49402     0.04393         0.0095288       -0.022927        0.0095305
        0.5         0.6         0.4         0.5         0.4         0.6      0.54196      8.2599      0.4461     0.48669     0.05685          0.013962      -0.0091571         0.013944
        0.6         0.7         0.4         0.5         0.4         0.6      0.63863      9.3686      0.4473     0.47974    0.070071          0.026797       -0.001131         0.026767
        0.1         0.2         0.4         0.5         0.6         0.8      0.17362      3.1645     0.44138     0.69636    0.013925          0.012808       -0.089934         0.012809
        0.2         0.3         0.4         0.5         0.6         0.8      0.24859      4.3825     0.44352     0.69099    0.022409         0.0078519       -0.078183        0.0078577
        0.3         0.4         0.4         0.5         0.6         0.8      0.34474      5.7891     0.44579     0.68466    0.035983         0.0094529       -0.053025        0.0094534
        0.4         0.5         0.4         0.5         0.6         0.8      0.44124      7.0998     0.44926     0.67542    0.050554           0.01424        -0.02944         0.014239
        0.5         0.6         0.4         0.5         0.6         0.8       0.5393      8.3289     0.45141     0.67021     0.06638          0.028265       -0.011749         0.028207
        0.6         0.7         0.4         0.5         0.6         0.8       0.6299      9.4023     0.44944     0.66068    0.080878          0.081472      -0.0018806         0.081568
        0.1         0.2         0.4         0.5         0.8           1      0.17244      3.1464     0.44545     0.88189    0.014393            0.0157        -0.10231         0.015666
        0.2         0.3         0.4         0.5         0.8           1      0.24514      4.3439     0.44822     0.87585    0.022802          0.011694       -0.089707         0.011684
        0.3         0.4         0.4         0.5         0.8           1       0.3398       5.773     0.45372     0.86601    0.036402          0.018735        -0.06112         0.018713
        0.4         0.5         0.4         0.5         0.8           1      0.43809      7.1348     0.45686     0.86074    0.052074          0.040931       -0.033798         0.040924
        0.1         0.2         0.4         0.5           1         1.2      0.17075      3.1216     0.45518      1.0634    0.013746          0.033034        -0.10765         0.033079
        0.2         0.3         0.4         0.5           1         1.2      0.23942      4.2796     0.46009       1.058    0.021074          0.030997        -0.09527          0.03082
        0.4         0.5         0.5         0.6           0         0.2      0.46726      6.9867     0.53999     0.16118     0.02137          0.060914      -0.0044374         0.060865
        0.5         0.6         0.5         0.6           0         0.2      0.55282      8.0725     0.54292     0.14011    0.022504          0.032419     -0.00096298         0.032411
        0.6         0.7         0.5         0.6           0         0.2      0.64544      9.1399      0.5432     0.12978    0.025223          0.034631      0.00056745         0.034616
        0.3         0.4         0.5         0.6         0.2         0.4      0.36624      5.8775     0.53754     0.34731    0.029971          0.032635       -0.021313         0.032701
        0.4         0.5         0.5         0.6         0.2         0.4      0.45161       7.034     0.54193     0.32066    0.036202          0.017357      -0.0097074         0.017327
        0.5         0.6         0.5         0.6         0.2         0.4      0.54625      8.1864     0.54321     0.30768    0.044833          0.017412      -0.0023069         0.017409
        0.6         0.7         0.5         0.6         0.2         0.4       0.6417      9.2342     0.54337     0.30136    0.054437          0.024475       0.0012197         0.024486
        0.2         0.3         0.5         0.6         0.4         0.6      0.26721      4.5893       0.535     0.53906    0.025635           0.02487       -0.053921         0.024878
        0.3         0.4         0.5         0.6         0.4         0.6      0.35132      5.8156     0.54153     0.50851    0.035953          0.013254       -0.031597         0.013251
        0.4         0.5         0.5         0.6         0.4         0.6      0.44636      7.0646     0.54355     0.49816    0.049635           0.01309       -0.014549         0.013106
        0.5         0.6         0.5         0.6         0.4         0.6      0.54345      8.2252     0.54459     0.49354    0.064769          0.017009       -0.003569         0.016986
