Ebeam,x,y,z,Q2,Pt,Asym,Estat,Erel,Eabs
27.6,0.106,0.462,0.337,2.454,0.110,0.0078,0.0082,0,0.0052
27.6,0.102,0.493,0.346,2.445,0.211,0.0122,0.0088,0,0.0041
27.6,0.096,0.525,0.350,2.393,0.290,0.0069,0.0086,0,0.0032
27.6,0.089,0.556,0.348,2.314,0.369,-0.0064,0.0087,0,0.0023
27.6,0.083,0.586,0.349,2.269,0.488,0.0044,0.0067,0,0.0009
27.6,0.079,0.619,0.371,2.265,0.670,0.0026,0.0086,0,0.0012
27.6,0.072,0.658,0.433,2.224,0.951,0.0292,0.0140,0,0.0042
27.6,0.035,0.708,0.330,1.278,0.484,0.0104,0.0095,0,0.0041
27.6,0.055,0.570,0.350,1.629,0.403,0.0169,0.0080,0,0.0038
27.6,0.076,0.512,0.360,2.011,0.367,-0.0157,0.0089,0,0.0034
27.6,0.098,0.481,0.367,2.451,0.352,0.0103,0.0082,0,0.0031
27.6,0.133,0.462,0.369,3.192,0.344,-0.0053,0.0079,0,0.0025
27.6,0.186,0.447,0.367,4.291,0.340,0.0204,0.0108,0,0.0016
27.6,0.275,0.430,0.363,6.125,0.354,-0.0192,0.0154,0,0.0006
27.6,0.084,0.596,0.233,2.373,0.352,0.0088,0.0057,0,0.0030
27.6,0.091,0.553,0.303,2.356,0.385,0.0072,0.0065,0,0.0050
27.6,0.094,0.530,0.373,2.338,0.411,0.0205,0.0079,0,0.0070
27.6,0.096,0.515,0.447,2.332,0.430,0.0007,0.0091,0,0.0090
27.6,0.097,0.504,0.523,2.315,0.444,-0.0007,0.0118,0,0.0112
27.6,0.096,0.494,0.593,2.263,0.447,0.0117,0.0141,0,0.0131
27.6,0.098,0.475,0.663,2.247,0.435,-0.0099,0.0167,0,0.0151
