     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1000     0.092     0.104     0.140     1.208     0.650   468094     0.004
     1001     0.090     0.230     0.141     1.209     0.665  1576967     0.002
     1002     0.090     0.372     0.143     1.212     0.669  1559890     0.002
     1003     0.090     0.518     0.145     1.212     0.669  1057229     0.003
     1004     0.088     0.663     0.152     1.217     0.684   502876     0.004
     1005     0.085     0.808     0.162     1.223     0.708   156882     0.008
     1006     0.082     0.954     0.172     1.230     0.738    33521     0.016
     1007     0.078     1.099     0.180     1.228     0.767     4655     0.044
     1008     0.074     1.239     0.188     1.234     0.805      367     0.156
     1009     0.061     1.354     0.194     1.057     0.843        2     2.108
     1010     0.145     0.099     0.144     1.310     0.443   255999     0.006
     1011     0.145     0.229     0.142     1.310     0.444   701684     0.004
     1012     0.146     0.374     0.140     1.308     0.440   686912     0.004
     1013     0.145     0.514     0.147     1.311     0.443   450507     0.004
     1014     0.141     0.654     0.167     1.323     0.458   127246     0.008
     1015     0.133     0.795     0.180     1.359     0.497    14164     0.025
     1016     0.126     0.929     0.189     1.423     0.546      506     0.133
     1017     0.000     0.000     0.000     0.000     0.000        0     0.000
     1018     0.000     0.000     0.000     0.000     0.000        0     0.000
     1019     0.000     0.000     0.000     0.000     0.000        0     0.000
     1020     0.204     0.099     0.155     1.386     0.332    76957     0.011
     1021     0.206     0.234     0.145     1.382     0.327   249431     0.006
     1022     0.206     0.370     0.140     1.380     0.326   324703     0.005
     1023     0.201     0.504     0.165     1.387     0.335   123514     0.008
     1024     0.191     0.629     0.185     1.413     0.359     8332     0.033
     1025     0.181     0.758     0.200     1.490     0.398        2     2.108
     1026     0.000     0.000     0.000     0.000     0.000        0     0.000
     1027     0.000     0.000     0.000     0.000     0.000        0     0.000
     1028     0.000     0.000     0.000     0.000     0.000        0     0.000
     1029     0.000     0.000     0.000     0.000     0.000        0     0.000
     1030     0.264     0.103     0.165     1.430     0.263    21658     0.020
     1031     0.265     0.237     0.141     1.427     0.262   110573     0.009
     1032     0.260     0.358     0.155     1.430     0.267    82321     0.010
     1033     0.251     0.478     0.183     1.439     0.278     7427     0.035
     1034     0.000     0.000     0.000     0.000     0.000        0     0.000
     1035     0.000     0.000     0.000     0.000     0.000        0     0.000
     1036     0.000     0.000     0.000     0.000     0.000        0     0.000
     1037     0.000     0.000     0.000     0.000     0.000        0     0.000
     1038     0.000     0.000     0.000     0.000     0.000        0     0.000
     1039     0.000     0.000     0.000     0.000     0.000        0     0.000
     1040     0.310     0.110     0.159     1.459     0.228     2622     0.058
     1041     0.310     0.228     0.143     1.459     0.228    15086     0.024
     1042     0.309     0.338     0.171     1.461     0.229     4286     0.046
     1043     0.000     0.000     0.000     0.000     0.000        0     0.000
     1044     0.000     0.000     0.000     0.000     0.000        0     0.000
     1045     0.000     0.000     0.000     0.000     0.000        0     0.000
     1046     0.000     0.000     0.000     0.000     0.000        0     0.000
     1047     0.000     0.000     0.000     0.000     0.000        0     0.000
     1048     0.000     0.000     0.000     0.000     0.000        0     0.000
     1049     0.000     0.000     0.000     0.000     0.000        0     0.000
     1050     0.000     0.000     0.000     0.000     0.000        0     0.000
     1051     0.000     0.000     0.000     0.000     0.000        0     0.000
     1052     0.000     0.000     0.000     0.000     0.000        0     0.000
     1053     0.000     0.000     0.000     0.000     0.000        0     0.000
     1054     0.000     0.000     0.000     0.000     0.000        0     0.000
     1055     0.000     0.000     0.000     0.000     0.000        0     0.000
     1056     0.000     0.000     0.000     0.000     0.000        0     0.000
     1057     0.000     0.000     0.000     0.000     0.000        0     0.000
     1058     0.000     0.000     0.000     0.000     0.000        0     0.000
     1059     0.000     0.000     0.000     0.000     0.000        0     0.000
     1060     0.000     0.000     0.000     0.000     0.000        0     0.000
     1061     0.000     0.000     0.000     0.000     0.000        0     0.000
     1062     0.000     0.000     0.000     0.000     0.000        0     0.000
     1063     0.000     0.000     0.000     0.000     0.000        0     0.000
     1064     0.000     0.000     0.000     0.000     0.000        0     0.000
     1065     0.000     0.000     0.000     0.000     0.000        0     0.000
     1066     0.000     0.000     0.000     0.000     0.000        0     0.000
     1067     0.000     0.000     0.000     0.000     0.000        0     0.000
     1068     0.000     0.000     0.000     0.000     0.000        0     0.000
     1069     0.000     0.000     0.000     0.000     0.000        0     0.000
     1070     0.000     0.000     0.000     0.000     0.000        0     0.000
     1071     0.000     0.000     0.000     0.000     0.000        0     0.000
     1072     0.000     0.000     0.000     0.000     0.000        0     0.000
     1073     0.000     0.000     0.000     0.000     0.000        0     0.000
     1074     0.000     0.000     0.000     0.000     0.000        0     0.000
     1075     0.000     0.000     0.000     0.000     0.000        0     0.000
     1076     0.000     0.000     0.000     0.000     0.000        0     0.000
     1077     0.000     0.000     0.000     0.000     0.000        0     0.000
     1078     0.000     0.000     0.000     0.000     0.000        0     0.000
     1079     0.000     0.000     0.000     0.000     0.000        0     0.000
     1080     0.000     0.000     0.000     0.000     0.000        0     0.000
     1081     0.000     0.000     0.000     0.000     0.000        0     0.000
     1082     0.000     0.000     0.000     0.000     0.000        0     0.000
     1083     0.000     0.000     0.000     0.000     0.000        0     0.000
     1084     0.000     0.000     0.000     0.000     0.000        0     0.000
     1085     0.000     0.000     0.000     0.000     0.000        0     0.000
     1086     0.000     0.000     0.000     0.000     0.000        0     0.000
     1087     0.000     0.000     0.000     0.000     0.000        0     0.000
     1088     0.000     0.000     0.000     0.000     0.000        0     0.000
     1089     0.000     0.000     0.000     0.000     0.000        0     0.000
     1090     0.000     0.000     0.000     0.000     0.000        0     0.000
     1091     0.000     0.000     0.000     0.000     0.000        0     0.000
     1092     0.000     0.000     0.000     0.000     0.000        0     0.000
     1093     0.000     0.000     0.000     0.000     0.000        0     0.000
     1094     0.000     0.000     0.000     0.000     0.000        0     0.000
     1095     0.000     0.000     0.000     0.000     0.000        0     0.000
     1096     0.000     0.000     0.000     0.000     0.000        0     0.000
     1097     0.000     0.000     0.000     0.000     0.000        0     0.000
     1098     0.000     0.000     0.000     0.000     0.000        0     0.000
     1099     0.000     0.000     0.000     0.000     0.000        0     0.000
     1100     0.095     0.105     0.245     1.208     0.630   189329     0.007
     1101     0.091     0.234     0.244     1.210     0.661   614646     0.004
     1102     0.090     0.373     0.245     1.212     0.669   809786     0.003
     1103     0.089     0.520     0.246     1.214     0.673   596431     0.004
     1104     0.089     0.669     0.246     1.216     0.675   383274     0.005
     1105     0.088     0.817     0.248     1.217     0.684   216757     0.006
