     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1268     0.000     0.000     0.000     0.000     0.000        0     0.000
     1269     0.000     0.000     0.000     0.000     0.000        0     0.000
     1270     0.000     0.000     0.000     0.000     0.000        0     0.000
     1271     0.000     0.000     0.000     0.000     0.000        0     0.000
     1272     0.000     0.000     0.000     0.000     0.000        0     0.000
     1273     0.000     0.000     0.000     0.000     0.000        0     0.000
     1274     0.000     0.000     0.000     0.000     0.000        0     0.000
     1275     0.000     0.000     0.000     0.000     0.000        0     0.000
     1276     0.000     0.000     0.000     0.000     0.000        0     0.000
     1277     0.000     0.000     0.000     0.000     0.000        0     0.000
     1278     0.000     0.000     0.000     0.000     0.000        0     0.000
     1279     0.000     0.000     0.000     0.000     0.000        0     0.000
     1280     0.000     0.000     0.000     0.000     0.000        0     0.000
     1281     0.000     0.000     0.000     0.000     0.000        0     0.000
     1282     0.000     0.000     0.000     0.000     0.000        0     0.000
     1283     0.000     0.000     0.000     0.000     0.000        0     0.000
     1284     0.000     0.000     0.000     0.000     0.000        0     0.000
     1285     0.000     0.000     0.000     0.000     0.000        0     0.000
     1286     0.000     0.000     0.000     0.000     0.000        0     0.000
     1287     0.000     0.000     0.000     0.000     0.000        0     0.000
     1288     0.000     0.000     0.000     0.000     0.000        0     0.000
     1289     0.000     0.000     0.000     0.000     0.000        0     0.000
     1290     0.000     0.000     0.000     0.000     0.000        0     0.000
     1291     0.000     0.000     0.000     0.000     0.000        0     0.000
     1292     0.000     0.000     0.000     0.000     0.000        0     0.000
     1293     0.000     0.000     0.000     0.000     0.000        0     0.000
     1294     0.000     0.000     0.000     0.000     0.000        0     0.000
     1295     0.000     0.000     0.000     0.000     0.000        0     0.000
     1296     0.000     0.000     0.000     0.000     0.000        0     0.000
     1297     0.000     0.000     0.000     0.000     0.000        0     0.000
     1298     0.000     0.000     0.000     0.000     0.000        0     0.000
     1299     0.000     0.000     0.000     0.000     0.000        0     0.000
     1300     0.108     0.118     0.444     1.244     0.558     7340     0.035
     1301     0.100     0.242     0.444     1.236     0.606    70250     0.011
     1302     0.092     0.378     0.445     1.233     0.659   147151     0.008
     1303     0.087     0.522     0.447     1.229     0.696   142232     0.008
     1304     0.084     0.670     0.447     1.226     0.716   100681     0.009
     1305     0.083     0.814     0.450     1.228     0.729    55606     0.013
     1306     0.081     0.960     0.454     1.236     0.745    19498     0.021
     1307     0.079     1.101     0.465     1.242     0.771     4182     0.046
     1308     0.077     1.239     0.483     1.264     0.799      350     0.159
     1309     0.076     1.360     0.495     1.311     0.831        1     2.981
     1310     0.144     0.102     0.447     1.398     0.473    18619     0.022
     1311     0.140     0.226     0.448     1.394     0.487    44271     0.014
     1312     0.137     0.366     0.451     1.398     0.499    28378     0.018
     1313     0.139     0.520     0.449     1.397     0.491    16433     0.023
     1314     0.139     0.668     0.448     1.396     0.491    10478     0.029
     1315     0.137     0.808     0.455     1.399     0.497     4328     0.045
     1316     0.133     0.944     0.471     1.403     0.515      709     0.112
     1317     0.125     1.067     0.486     1.422     0.550       17     0.723
     1318     0.000     0.000     0.000     0.000     0.000        0     0.000
     1319     0.000     0.000     0.000     0.000     0.000        0     0.000
     1320     0.186     0.100     0.450     1.480     0.386      915     0.099
     1321     0.186     0.219     0.450     1.480     0.385     1288     0.083
     1322     0.186     0.365     0.451     1.480     0.385      652     0.117
     1323     0.187     0.524     0.448     1.480     0.385      509     0.132
     1324     0.186     0.664     0.450     1.482     0.385      295     0.174
     1325     0.187     0.799     0.464     1.481     0.383      102     0.295
     1326     0.184     0.936     0.493     1.481     0.389        5     1.333
     1327     0.000     0.000     0.000     0.000     0.000        0     0.000
     1328     0.000     0.000     0.000     0.000     0.000        0     0.000
     1329     0.000     0.000     0.000     0.000     0.000        0     0.000
