     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1104     0.090     0.672     0.243     1.212     0.667   313837     0.005
     1105     0.089     0.818     0.246     1.215     0.676   209285     0.007
     1106     0.087     0.965     0.250     1.220     0.692   105834     0.009
     1107     0.084     1.110     0.256     1.228     0.715    39077     0.015
     1108     0.081     1.255     0.263     1.232     0.745     9601     0.030
     1109     0.077     1.398     0.270     1.233     0.779     1532     0.076
     1110     0.156     0.133     0.249     1.300     0.407     5978     0.039
     1111     0.147     0.235     0.244     1.306     0.435    90561     0.010
     1112     0.145     0.378     0.243     1.307     0.441   145523     0.008
     1113     0.145     0.524     0.242     1.309     0.443   157487     0.008
     1114     0.145     0.671     0.243     1.308     0.442   133336     0.008
     1115     0.142     0.811     0.250     1.318     0.454    67081     0.012
     1116     0.134     0.952     0.261     1.349     0.490    14895     0.024
     1117     0.127     1.092     0.273     1.412     0.537     1481     0.077
     1118     0.123     1.227     0.290     1.470     0.581       22     0.636
     1119     0.000     0.000     0.000     0.000     0.000        0     0.000
     1120     0.210     0.116     0.246     1.379     0.320     9782     0.030
     1121     0.206     0.232     0.245     1.381     0.326    46778     0.014
     1122     0.206     0.377     0.243     1.380     0.326    61069     0.012
     1123     0.207     0.526     0.241     1.380     0.325    69498     0.011
     1124     0.200     0.658     0.250     1.386     0.337    41467     0.015
     1125     0.190     0.784     0.272     1.415     0.362     3798     0.048
     1126     0.181     0.912     0.298     1.471     0.395        4     1.491
     1127     0.000     0.000     0.000     0.000     0.000        0     0.000
     1128     0.000     0.000     0.000     0.000     0.000        0     0.000
     1129     0.000     0.000     0.000     0.000     0.000        0     0.000
     1130     0.267     0.100     0.249     1.429     0.260     6488     0.037
     1131     0.265     0.231     0.245     1.428     0.262    19325     0.021
     1132     0.264     0.376     0.243     1.427     0.263    23962     0.019
     1133     0.258     0.510     0.247     1.430     0.269    17819     0.022
     1134     0.247     0.622     0.274     1.446     0.284      985     0.095
     1135     0.000     0.000     0.000     0.000     0.000        0     0.000
     1136     0.000     0.000     0.000     0.000     0.000        0     0.000
     1137     0.000     0.000     0.000     0.000     0.000        0     0.000
     1138     0.000     0.000     0.000     0.000     0.000        0     0.000
     1139     0.000     0.000     0.000     0.000     0.000        0     0.000
     1140     0.310     0.099     0.248     1.459     0.228     1097     0.090
     1141     0.309     0.231     0.244     1.459     0.228     2695     0.057
     1142     0.310     0.370     0.245     1.460     0.229     2890     0.055
     1143     0.307     0.471     0.267     1.467     0.232      309     0.170
     1144     0.000     0.000     0.000     0.000     0.000        0     0.000
     1145     0.000     0.000     0.000     0.000     0.000        0     0.000
     1146     0.000     0.000     0.000     0.000     0.000        0     0.000
     1147     0.000     0.000     0.000     0.000     0.000        0     0.000
     1148     0.000     0.000     0.000     0.000     0.000        0     0.000
     1149     0.000     0.000     0.000     0.000     0.000        0     0.000
     1150     0.000     0.000     0.000     0.000     0.000        0     0.000
     1151     0.000     0.000     0.000     0.000     0.000        0     0.000
     1152     0.000     0.000     0.000     0.000     0.000        0     0.000
     1153     0.000     0.000     0.000     0.000     0.000        0     0.000
     1154     0.000     0.000     0.000     0.000     0.000        0     0.000
     1155     0.000     0.000     0.000     0.000     0.000        0     0.000
     1156     0.000     0.000     0.000     0.000     0.000        0     0.000
     1157     0.000     0.000     0.000     0.000     0.000        0     0.000
     1158     0.000     0.000     0.000     0.000     0.000        0     0.000
     1159     0.000     0.000     0.000     0.000     0.000        0     0.000
     1160     0.000     0.000     0.000     0.000     0.000        0     0.000
     1161     0.000     0.000     0.000     0.000     0.000        0     0.000
     1162     0.000     0.000     0.000     0.000     0.000        0     0.000
     1163     0.000     0.000     0.000     0.000     0.000        0     0.000
     1164     0.000     0.000     0.000     0.000     0.000        0     0.000
     1165     0.000     0.000     0.000     0.000     0.000        0     0.000
     1166     0.000     0.000     0.000     0.000     0.000        0     0.000
